17,14
1,1
1,2
1,3
1,4
1,5
1,6
1,8
1,9
1,10
1,11
1,12
1,13
1,14
2,1
2,2
2,6
2,8
2,14
3,1
3,4
3,6
3,8
3,10
3,12
3,14
4,1
4,3
4,4
4,6
4,8
4,10
4,12
4,14
5,1
5,14
6,1
6,3
6,5
6,6
6,8
6,9
6,10
6,12
6,14
7,1
7,8
7,12
7,14
8,1
8,3
8,5
8,6
8,10
8,14
9,3
9,5
9,8
9,9
9,10
9,12
10,1
10,3
10,5
10,6
10,10
10,14
11,1
11,8
11,12
11,14
12,1
12,3
12,5
12,6
12,8
12,9
12,10
12,12
12,14
13,1
13,14
14,1
14,3
14,4
14,6
14,8
14,10
14,12
14,14
15,1
15,4
15,6
15,8
15,10
15,12
15,14
16,1
16,2
16,6
16,8
16,14
17,1
17,2
17,3
17,4
17,5
17,6
17,8
17,9
17,10
17,11
17,12
17,13
17,14
